url	nama	harga	jenis	address	aircon	free_wifi	kamar_mandi_dalam	fasilitas_kamar	fasilitas_kost
https://www.sewakost.com/jakarta/selatan/kost-wanita-murah-di-tebet-jakarta-selatan-80965.html	Kost Wanita Murah di Tebet Jakarta Selatan	Rp 1.200.000	Kost Putri	Jalan Tebet Dalam IVA Nomor 10. Tebet Barat.	Ya	Ya	Tidak	['Spring Bed', 'Perabot', 'Free WiFi', 'AC']	['Dapur', 'Parkir Motor']
https://www.sewakost.com/jakarta/selatan/kost-kary-pria-duren-tiga-jak-sel-80613.html	Kost Kary. Pria - Duren Tiga, Jak - Sel	Rp 2.200.000	Kost Putra	Jl Minyak III no.3B, Duren Tiga, Pancoran, Jakarta Selatan	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'TV', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/ada-kost-kosong-80432.html	ADA KOST KOSONG 	Rp 750.000	Kost Campur	Pancoran Barat X, RT 13 RW 03 No 46, kode pos: 12780, Jakarta Selatan	Tidak	Tidak	Ya	['Spring Bed', 'Perabot', 'Kamar Mandi Dalam']	['Keamanan', 'Parkir Motor']
https://www.sewakost.com/jakarta/selatan/indekos-ibu-firman-jatipadang-pasar-minggu-80048.html	Indekos Ibu Firman Jatipadang Pasar Minggu	Rp 1.500.000	Kost Putri	Damarsari 3 Nomor 29 Jatipadang Pasar Minggu Jakarta Selatan (dekat SMAN 28 & Mesjid As-Salam)	Ya	Tidak	Ya	['Kamar Mandi Dalam']	['Ruang Tamu', 'Dapur', 'Keamanan', 'Parkir Motor']
https://www.sewakost.com/jakarta/selatan/kos-bu-sulomo-78927.html	Kos Bu Sulomo	Rp 850.000	Kost Putra	Jl balsa no 22 pangkalan jati pondok labu Jakarta selatan	Tidak	Ya	Tidak	['Free WiFi']	['Dapur', 'Keamanan', 'Parkir Motor']
https://www.sewakost.com/jakarta/selatan/tc-7-residence-tulodong-77920.html	TC 7 Residence Tulodong 	Rp 4.000.000	Kost Campur	Jl. Tulodong Bawah C No.7, RT.3/RW.1, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190	Ya	Ya	Ya	['Free WiFi', 'AC', 'TV', 'Kulkas', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Ruang Tamu', 'Ruang Makan', 'Dapur', 'Air Minum', 'Cuci Setrika', 'Pembantu', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/disewakan-kamar-kost-buat-putri-77407.html	Disewakan kamar kost buat putri	Rp 1.400.000	Kost Putri	Tebet Barat Dalam XC No.2, Kel. Tebet Barat, Kec. Tebet, Jakarta Selatan	Ya	Tidak	Tidak	['Spring Bed', 'AC']	[]
https://www.sewakost.com/jakarta/selatan/kost-nyaman-77234.html	Kost Nyaman 	Rp 2.900.000	Kost Campur	Jalan mampang prapatan II no. 17 Kec mampang prpt, Jakarta Selatan 12790	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Ruang Tamu', 'Televisi', 'Ruang Makan', 'Dapur', 'Pembantu', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/rumah-kost-pejaten-77141.html	Rumah Kost Pejaten	Rp 800.000	Kost Campur	Jl. Warga I MA Pejaten Barat Pasar Minggu Jakarta Selatan	Ya	Tidak	Ya	['Spring Bed', 'Perabot', 'AC', 'Kamar Mandi Dalam']	['Ruang Tamu', 'Dapur', 'Cuci Setrika', 'Parkir Motor']
https://www.sewakost.com/jakarta/selatan/kost-wakaf-kebayoran-77056.html	Kost wakaf kebayoran 	Rp 1.000.000	Kost Campur	jalan haji al ma'mur (jalan Haji Soleh 1) (Patokannya Halte Bus Way RS Medika Permata Hijau) gang wakaf no 30	Ya	Tidak	Ya	['Perabot', 'AC', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Dapur', 'Air Minum', 'Keamanan', 'Parkir Motor']
https://www.sewakost.com/jakarta/selatan/kost-wisma-raffles-pedurenan-77055.html	Kost Wisma raffles pedurenan	Rp 2.200.000	Kost Campur	Jl haji sidik no 16 karet pedurenan jakarta selatan	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'TV', 'Kulkas', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Televisi', 'Dapur', 'Air Minum', 'Cuci Setrika', 'Pembantu', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/kost-wisma-ks23-karet-semanggi-77037.html	Kost Wisma ks23 karet semanggi	Rp 2.200.000	Kost Campur	Jl karet sawah 1 no 23	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'TV', 'Kulkas', 'Kamar Mandi Dalam']	['Dapur', 'Cuci Setrika', 'Mesin Cuci (Cuci Sendiri)', 'Pembantu', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/kost-pasutri-single-ada-balkon-pribadi-luas-full-furnish-ada-air-panas-76890.html	KOST PASUTRI/SINGLE ADA BALKON PRIBADI LUAS  FULL FURNISH ADA AIR PANAS	Rp 3.400.000	Kost Campur	Ragunan, Jakarta Selatan (seberang pusdiklat kejaksaan)	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'TV', 'Kulkas', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Ruang Tamu', 'Televisi', 'Dapur', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
